file,condition,time,rep
pcas13d_c1_4hpf_rep1,pcas13d_c1,4,rep1
znf_g1_2hpf_rep1,znf_g1,2,rep1
pcas13d_c1_6hpf_1040,pcas13d_c1,6,1040
znf_g1_6hpf_rep1,znf_g1,6,rep1
pcas13d_c1_4hpf_1145,pcas13d_c1,4,1145
znf_g1_4hpf_1046,znf_g1,4,1046
uninjected_c1_2hpf_1040,uninjected_c1,2,1040
uninjected_c1_6hpf_rep1,uninjected_c1,6,rep1
pcas13d_c1_6hpf_rep1,pcas13d_c1,6,rep1
znf_g2_6hpf_rep2,znf_g2,6,rep2
uninjected_c1_2hpf_1145,uninjected_c1,2,1145
znf_g3_4hpf_rep1,znf_g3,4,rep1
znf_g2_6hpf_1145,znf_g2,6,1145
pcas13d_c1_2hpf_1140,pcas13d_c1,2,1140
znf_g2_4hpf_rep1,znf_g2,4,rep1
znf_g2_4hpf_1145,znf_g2,4,1145
uninjected_c1_4hpf_1046,uninjected_c1,4,1046
uninjected_c1_6hpf_rep2,uninjected_c1,6,rep2
pcas13d_c1_4hpf_1140,pcas13d_c1,4,1140
pcas13d_c1_4hpf_1046,pcas13d_c1,4,1046
pcas13d_c1_6hpf_1046,pcas13d_c1,6,1046
uninjected_c1_6hpf_1145,uninjected_c1,6,1145
pcas13d_c1_6hpf_1140,pcas13d_c1,6,1140
pcas13d_c1_6hpf_rep2,pcas13d_c1,6,rep2
uninjected_c1_6hpf_1140,uninjected_c1,6,1140
znf_g3_4hpf_rep2,znf_g3,4,rep2
uninjected_c1_2hpf_rep2,uninjected_c1,2,rep2
znf_g3_2hpf_1040,znf_g3,2,1040
pcas13d_c1_2hpf_rep1,pcas13d_c1,2,rep1
pcas13d_c1_4hpf_rep2,pcas13d_c1,4,rep2
uninjected_c1_2hpf_1140,uninjected_c1,2,1140
pcas13d_c1_4hpf_1040,pcas13d_c1,4,1040
znf_g3_6hpf_rep2,znf_g3,6,rep2
znf_g1_4hpf_rep1,znf_g1,4,rep1
uninjected_c1_4hpf_rep1,uninjected_c1,4,rep1
uninjected_c1_2hpf_rep1,uninjected_c1,2,rep1
uninjected_c1_4hpf_rep2,uninjected_c1,4,rep2
znf_g3_2hpf_rep2,znf_g3,2,rep2
znf_g1_2hpf_rep2,znf_g1,2,rep2
uninjected_c1_4hpf_1145,uninjected_c1,4,1145
znf_g3_6hpf_1040,znf_g3,6,1040
pcas13d_c1_6hpf_1145,pcas13d_c1,6,1145
uninjected_c1_6hpf_1040,uninjected_c1,6,1040
znf_g3_4hpf_1040,znf_g3,4,1040
znf_g1_6hpf_rep2,znf_g1,6,rep2
pcas13d_c1_2hpf_1145,pcas13d_c1,2,1145
znf_g1_6hpf_1046,znf_g1,6,1046
znf_g2_2hpf_rep1,znf_g2,2,rep1
znf_g3_2hpf_rep1,znf_g3,2,rep1
znf_g2_6hpf_rep1,znf_g2,6,rep1
pcas13d_c1_2hpf_1040,pcas13d_c1,2,1040
uninjected_c1_6hpf_1046,uninjected_c1,6,1046
znf_g2_2hpf_1145,znf_g2,2,1145
pcas13d_c1_2hpf_rep2,pcas13d_c1,2,rep2
uninjected_c1_4hpf_1040,uninjected_c1,4,1040
znf_g2_2hpf_rep2,znf_g2,2,rep2
znf_g3_6hpf_rep1,znf_g3,6,rep1
uninjected_c1_4hpf_1140,uninjected_c1,4,1140
znf_g2_4hpf_rep2,znf_g2,4,rep2
znf_g1_4hpf_rep2,znf_g1,4,rep2
